date,asset,action,price,signals,bubble_score,pnl_pct,reason
2012-08-14,WHEAT,SHORT,839.75,"['lower_high', 'momentum_flip']",3.0,,
2012-10-26,NATGAS,SHORT,3.400000095367432,"['rsi_breakdown', 'lower_high']",3.0,,
2013-02-15,WHEAT,COVER,742.25,,,11.610598392378684,time_stop (126 days)
2013-03-19,NATGAS,COVER,3.9690001010894775,,,-16.73529381653016,stop_loss (-16.7%)
2013-05-06,NATGAS,SHORT,4.011000156402588,"['lower_high', 'momentum_flip']",3.0,,
2013-05-27,NIKKEI,SHORT,14142.650390625,"['rsi_breakdown', 'lower_high']",4.0,,
2013-11-01,NATGAS,COVER,3.513000011444092,,,12.415859524801059,time_stop (126 days)
2013-11-26,NIKKEI,COVER,15515.240234375,,,-9.705322593987574,time_stop (126 days)
2014-02-25,NATGAS,SHORT,5.0960001945495605,"['rsi_breakdown', 'lower_high', 'momentum_flip']",4.0,,
2014-03-20,COFFEE,SHORT,174.14999389648438,"['rsi_breakdown', 'lower_high']",3.0,,
2014-04-10,COFFEE,COVER,206.1000061035156,,,-18.346260882456573,stop_loss (-18.3%)
2014-05-01,COFFEE,SHORT,201.4499969482422,"['rsi_breakdown', 'lower_high']",3.0,,
2014-07-10,COFFEE,PARTIAL_COVER,160.25,,,20.451723788721402,
2014-07-17,NATGAS,PARTIAL_COVER,3.953999996185303,,,22.40973616103246,
2014-08-25,NATGAS,COVER,3.937000036239624,,,22.743330338753676,time_stop (126 days)
2014-10-30,COFFEE,COVER,187.6000061035156,,,6.875150684804934,time_stop (126 days)
2015-11-15,BTC,SHORT,320.1659851074219,"['rsi_breakdown', 'lower_high']",4.0,,
2015-11-29,BTC,COVER,371.29400634765625,,,-15.969223346159003,stop_loss (-16.0%)
2015-12-26,BTC,SHORT,417.2739868164063,"['rsi_breakdown', 'lower_high']",4.0,,
2016-04-30,BTC,COVER,448.3179931640625,,,-7.439717626422528,time_stop (126 days)
2016-05-19,BTC,SHORT,438.7149963378906,"['broke_50sma', 'rsi_breakdown', 'momentum_flip']",3.0,,
2016-05-28,BTC,COVER,530.0399780273438,,,-20.816471388435563,stop_loss (-20.8%)
2016-06-26,BTC,SHORT,629.3670043945312,"['rsi_breakdown', 'lower_high']",4.0,,
2016-07-08,SUGAR,SHORT,19.56999969482422,"['rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2016-07-19,NATGAS,SHORT,2.7279999256134038,"['rsi_breakdown', 'lower_high']",3.0,,
2016-09-26,SUGAR,COVER,22.540000915527344,,,-15.17629671444817,stop_loss (-15.2%)
2016-10-07,NATGAS,COVER,3.193000078201294,,,-17.045460603644727,stop_loss (-17.0%)
2016-10-21,NATGAS,SHORT,2.993000030517578,"['lower_high', 'momentum_flip']",3.0,,
2016-10-27,SUGAR,SHORT,22.59000015258789,"['lower_high', 'momentum_flip']",3.0,,
2016-10-30,BTC,COVER,701.864013671875,,,-11.519035597852465,time_stop (126 days)
