Entry,Exit,Ticker,Lev,PnL%,Reason
2003-07-11,2003-08-04,NIKKEI,1.0,-1.89,TRAIL
2003-07-15,2003-08-04,SILVER,1.0,7.85,TRAIL
2003-06-25,2003-08-05,SP500,1.0,-1.01,TRAIL
2003-07-17,2003-08-05,RUSSELL2000,1.0,-0.54,TRAIL
2003-07-17,2003-08-05,NASDAQ,1.5,-2.17,TRAIL
2003-08-01,2003-08-05,COTTON,1.75,-1.3,MOM_REV
2003-07-21,2003-08-06,XLK,1.0,-0.58,MOM_REV
2003-07-23,2003-08-06,COPPER,1.75,6.09,TRAIL
2003-08-05,2003-08-06,NASDAQ,1.75,-2.18,MOM_REV
2003-08-04,2003-08-07,NIKKEI,1.25,-2.48,MOM_REV
2003-07-23,2003-08-08,HANGSENG,1.0,0.45,TRAIL
2003-08-06,2003-08-08,COPPER,1.75,-0.65,TRAIL
2003-08-06,2003-08-08,COTTON,1.75,-2.44,MOM_REV
2003-08-08,2003-08-11,COTTON,1.75,-2.16,MOM_REV
2003-08-04,2003-08-12,SILVER,1.25,-3.94,TRAIL
2003-08-08,2003-08-12,COPPER,1.5,-2.25,TRAIL
2003-08-08,2003-08-18,GOLD,1.25,0.74,TRAIL
2003-07-31,2003-08-19,CRUDE,1.0,0.52,PULLBACK
2003-08-19,2003-08-21,WHEAT,1.75,-2.96,TRAIL
2003-08-05,2003-08-22,RUSSELL2000,1.75,10.73,TRAIL
2003-08-21,2003-08-25,WHEAT,1.75,-2.29,TRAIL
2003-08-12,2003-08-26,COPPER,1.25,0.95,TRAIL
2003-07-14,2003-08-29,FTSE,1.0,0.81,TRAIL
2003-08-29,2003-09-02,CRUDE,1.25,-8.55,STOP
2003-08-25,2003-09-03,WHEAT,1.0,0.07,TRAIL
2003-09-03,2003-09-05,WHEAT,1.25,-4.71,TRAIL
2003-07-30,2003-09-10,PLATINUM,1.5,3.07,TRAIL
2003-08-08,2003-09-10,HANGSENG,1.0,8.7,TRAIL
2003-08-12,2003-09-10,NASDAQ,1.25,10.14,TRAIL
2003-08-22,2003-09-10,RUSSELL2000,1.5,5.02,TRAIL
2003-08-26,2003-09-10,COPPER,1.0,1.26,TRAIL
2003-09-05,2003-09-11,WHEAT,1.0,-1.45,TRAIL
