Date,Asset_1,Asset_2,Equity,Score_1
2023-07-04,SHV,SPY,8.028292506499284,19.946348384049728
2023-07-05,SHV,SPY,7.999048473366596,21.01869684002348
2023-07-06,SHV,AAPL,7.9675103278018415,21.38919096871296
2023-07-07,SHV,AAPL,7.9675103278018415,20.356366072214474
2023-07-08,SHV,AAPL,7.9675103278018415,19.17645666826733
2023-07-09,SHV,AAPL,7.924986956688608,19.17645666826733
2023-07-10,SHV,SOL,8.061772116443839,20.251573228009953
2023-07-11,SHV,SOL,8.041828104369161,20.251573228009953
2023-07-12,SHV,SOL,8.784637917180145,20.558438539073677
2023-07-13,SHV,SOL,8.90486582167122,20.900806598924046
2023-07-14,SHV,SOL,9.014052456597112,20.90081472133516
2023-07-15,SHV,SOL,9.01285578922911,20.394883427941473
2023-07-16,SHV,SOL,8.92912119429862,19.729103346129442
2023-07-17,SHV,SOL,8.708852345128506,20.395807794840493
2023-07-18,SHV,SOL,8.850760574423271,21.07863182853998
2023-07-19,SHV,SOL,8.685436612802489,22.286687326819433
2023-07-20,SHV,XLF,8.662429928128507,23.8071987298362
2023-07-21,SHV,XLF,8.662429928128507,23.808279429618732
2023-07-22,SHV,XLF,8.662429928128507,22.172401316334568
2023-07-23,SHV,XLF,8.704586718210383,21.48063539696833
2023-07-24,SHV,XLF,8.676862661800074,22.17314788673645
2023-07-25,SHV,XLF,8.703408035766238,22.885360789074333
2023-07-26,SHV,XLF,8.649946202012169,22.886646102674405
2023-07-27,SHV,USO,8.68239171312973,23.292025809920645
2023-07-28,SHV,USO,8.68239171312973,24.122801994754788
2023-07-29,SHV,USO,8.68239171312973,22.895994254312313
2023-07-30,SHV,USO,8.748215009798185,21.70018573083728
2023-07-31,SHV,USO,8.736337796222509,22.952872499047423
2023-08-01,SHV,USO,8.648523236893759,24.126847443905337
2023-08-02,SHV,USO,8.750518703943415,26.377867921898968
2023-08-03,SHV,USO,8.79059461865042,28.18002719131922
