date,ticker,old_lev,new_lev,reason
2005-05-31,NIKKEI,2.5,2.5,LEVERAGE UP to 2.5x: 12m=3.8% | 1m=2.2% | GoldenX
2005-06-01,XLV,1.0,1.0,DELEVERAGE: Mom decay 2.7% vs peak 6.5%
2005-06-01,TBOND,3.0,3.0,LEVERAGE UP to 3.0x: 12m=12.1% | 3m=5.0% | 1m=3.1% | GoldenX
2005-06-01,NIKKEI,1.0,1.0,DELEVERAGE: Mom decay 2.3% vs peak 5.0%
2005-06-01,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=24.8% | Strong12m | 1m=2.8% | >5%>SMA200 | GoldenX
2005-06-02,XLV,2.5,2.5,LEVERAGE UP to 2.5x: 12m=2.1% | >5%>SMA200 | GoldenX
2005-06-02,DOW,1.0,1.0,DELEVERAGE: Mom decay 2.8% vs peak 5.6%
2005-06-02,NIKKEI,2.5,2.5,LEVERAGE UP to 2.5x: 12m=1.6% | 1m=2.5% | GoldenX
2005-06-03,XLV,1.0,1.0,DELEVERAGE: Mom decay 2.0% vs peak 6.5%
2005-06-03,NATGAS,1.0,1.0,DELEVERAGE: Mom decay 3.0% vs peak 5.9%
2005-06-06,XLV,2.5,2.5,LEVERAGE UP to 2.5x: 12m=1.8% | >5%>SMA200 | GoldenX
2005-06-06,XLF,1.0,1.0,DELEVERAGE: Mom decay 4.8% vs peak 8.3%
2005-06-06,NIKKEI,1.0,1.0,DELEVERAGE: Mom decay 1.1% vs peak 5.0%
2005-06-06,NATGAS,3.0,3.0,LEVERAGE UP to 3.0x: 12m=9.2% | 3m=6.1% | 1m=6.4% | >5%>SMA200 | GoldenX
2005-06-07,XLV,1.0,1.0,DELEVERAGE: Mom decay 0.8% vs peak 6.5%
2005-06-07,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=3.2% | 1m=2.0%
2005-06-07,CRUDE,1.0,1.0,DELEVERAGE: Pullback 2.3%
